"","Name","Team","Position","Height","Weight","Age","PosCategory"
"1","Adam_Donachie","BAL","Catcher",1.87960375920752,81.6466266,22.99,"Catcher"
"2","Paul_Bako","BAL","Catcher",1.87960375920752,97.52235955,34.69,"Catcher"
"3","Ramon_Hernandez","BAL","Catcher",1.82880365760732,95.2543977,30.78,"Catcher"
"4","Kevin_Millar","BAL","First_Baseman",1.82880365760732,95.2543977,35.43,"Infielder"
"5","Chris_Gomez","BAL","First_Baseman",1.85420370840742,85.27536556,35.71,"Infielder"
"6","Brian_Roberts","BAL","Second_Baseman",1.75260350520701,79.83225712,29.39,"Infielder"
"7","Miguel_Tejada","BAL","Shortstop",1.75260350520701,94.80080533,30.77,"Infielder"
"8","Melvin_Mora","BAL","Third_Baseman",1.80340360680721,90.718474,35.07,"Infielder"
"9","Aubrey_Huff","BAL","Third_Baseman",1.93040386080772,104.77983747,30.19,"Infielder"
"10","Adam_Stern","BAL","Outfielder",1.80340360680721,81.6466266,27.05,"Outfielder"
"11","Jeff_Fiorentino","BAL","Outfielder",1.85420370840742,85.27536556,23.88,"Outfielder"
"12","Freddie_Bynum","BAL","Outfielder",1.85420370840742,81.6466266,26.96,"Outfielder"
"13","Nick_Markakis","BAL","Outfielder",1.87960375920752,83.91458845,23.29,"Outfielder"
"14","Brandon_Fahey","BAL","Outfielder",1.87960375920752,72.5747792,26.11,"Outfielder"
"15","Corey_Patterson","BAL","Outfielder",1.75260350520701,81.6466266,27.55,"Outfielder"
"16","Jay_Payton","BAL","Outfielder",1.77800355600711,83.91458845,34.27,"Outfielder"
"18","Erik_Bedard","BAL","Starting_Pitcher",1.85420370840742,85.72895793,27.99,"Pitcher"
"19","Hayden_Penn","BAL","Starting_Pitcher",1.90500381000762,83.91458845,22.38,"Pitcher"
"20","Adam_Loewen","BAL","Starting_Pitcher",1.98120396240792,99.33672903,22.89,"Pitcher"
"21","Daniel_Cabrera","BAL","Starting_Pitcher",2.00660401320803,104.3262451,25.76,"Pitcher"
"22","Steve_Trachsel","BAL","Starting_Pitcher",1.93040386080772,92.98643585,36.33,"Pitcher"
"23","Jaret_Wright","BAL","Starting_Pitcher",1.87960375920752,104.3262451,31.17,"Pitcher"
"24","Kris_Benson","BAL","Starting_Pitcher",1.93040386080772,88.45051215,32.31,"Pitcher"
"25","Scott_Williamson","BAL","Relief_Pitcher",1.82880365760732,81.6466266,31.03,"Pitcher"
"26","John_Parrish","BAL","Relief_Pitcher",1.80340360680721,87.08973504,29.26,"Pitcher"
"27","Danys_Baez","BAL","Relief_Pitcher",1.90500381000762,102.05828325,29.47,"Pitcher"
"28","Chad_Bradford","BAL","Relief_Pitcher",1.95580391160782,92.07925111,32.46,"Pitcher"
"29","Jamie_Walker","BAL","Relief_Pitcher",1.87960375920752,88.45051215,35.67,"Pitcher"
"30","Brian_Burres","BAL","Relief_Pitcher",1.85420370840742,82.55381134,25.89,"Pitcher"
"31","Kurt_Birkins","BAL","Relief_Pitcher",1.87960375920752,85.27536556,26.55,"Pitcher"
"32","James_Hoey","BAL","Relief_Pitcher",1.98120396240792,90.718474,24.17,"Pitcher"
"33","Sendy_Rleal","BAL","Relief_Pitcher",1.85420370840742,81.6466266,26.69,"Pitcher"
"34","Chris_Ray","BAL","Relief_Pitcher",1.90500381000762,90.718474,25.13,"Pitcher"
"35","Jeremy_Guthrie","BAL","Relief_Pitcher",1.85420370840742,90.718474,27.9,"Pitcher"
"36","A.J._Pierzynski","CWS","Catcher",1.90500381000762,111.13013065,30.17,"Catcher"
"37","Toby_Hall","CWS","Catcher",1.90500381000762,108.8621688,31.36,"Catcher"
"38","Paul_Konerko","CWS","First_Baseman",1.87960375920752,97.52235955,30.99,"Infielder"
"39","Tadahito_Iguchi","CWS","Second_Baseman",1.75260350520701,83.91458845,32.24,"Infielder"
"40","Juan_Uribe","CWS","Shortstop",1.80340360680721,79.37866475,27.61,"Infielder"
"41","Alex_Cintron","CWS","Shortstop",1.87960375920752,90.26488163,28.2,"Infielder"
"42","Joe_Crede","CWS","Third_Baseman",1.85420370840742,90.718474,28.85,"Infielder"
"43","Josh_Fields","CWS","Third_Baseman",1.85420370840742,97.52235955,24.21,"Infielder"
"44","Ryan_Sweeney","CWS","Outfielder",1.93040386080772,90.718474,22.02,"Outfielder"
"45","Brian_N._Anderson","CWS","Outfielder",1.87960375920752,92.98643585,24.97,"Outfielder"
"46","Luis_Terrero","CWS","Outfielder",1.87960375920752,93.44002822,26.78,"Outfielder"
"47","Pablo_Ozuna","CWS","Outfielder",1.77800355600711,84.36818082,32.51,"Outfielder"
"48","Scott_Podsednik","CWS","Outfielder",1.82880365760732,85.27536556,30.95,"Outfielder"
"49","Jermaine_Dye","CWS","Outfielder",1.95580391160782,99.7903214,33.09,"Outfielder"
"50","Darin_Erstad","CWS","Outfielder",1.87960375920752,95.2543977,32.74,"Outfielder"
"51","Rob_Mackowiak","CWS","Outfielder",1.77800355600711,88.45051215,30.69,"Outfielder"
"54","Charlie_Haeger","CWS","Starting_Pitcher",1.85420370840742,90.718474,23.45,"Pitcher"
"55","Heath_Phillips","CWS","Starting_Pitcher",1.90500381000762,90.718474,24.94,"Pitcher"
"56","Gavin_Floyd","CWS","Starting_Pitcher",1.93040386080772,96.16158244,24.09,"Pitcher"
"57","Jose_Contreras","CWS","Starting_Pitcher",1.93040386080772,101.60469088,35.23,"Pitcher"
"58","Jon_Garland","CWS","Starting_Pitcher",1.98120396240792,95.2543977,27.43,"Pitcher"
"59","Javier_Vazquez","CWS","Starting_Pitcher",1.87960375920752,92.98643585,30.6,"Pitcher"
"60","Mark_Buehrle","CWS","Starting_Pitcher",1.87960375920752,99.7903214,27.94,"Pitcher"
"61","Mike_MacDougal","CWS","Relief_Pitcher",1.93040386080772,88.45051215,29.99,"Pitcher"
"62","David_Aardsma","CWS","Relief_Pitcher",1.95580391160782,90.718474,25.17,"Pitcher"
"63","Andrew_Sisco","CWS","Relief_Pitcher",2.05740411480823,117.9340162,24.13,"Pitcher"
"64","Matt_Thornton","CWS","Relief_Pitcher",1.98120396240792,103.41906036,30.46,"Pitcher"
"65","Bobby_Jenks","CWS","Relief_Pitcher",1.90500381000762,122.4699399,25.96,"Pitcher"
"66","Boone_Logan","CWS","Relief_Pitcher",1.95580391160782,90.718474,22.55,"Pitcher"
"67","Sean_Tracey","CWS","Relief_Pitcher",1.90500381000762,95.2543977,26.29,"Pitcher"
"68","Nick_Masset","CWS","Relief_Pitcher",1.93040386080772,86.1825503,24.79,"Pitcher"
"69","Jose_Molina","ANA","Catcher",1.87960375920752,99.7903214,31.74,"Catcher"
"70","Jeff_Mathis","ANA","Catcher",1.82880365760732,81.6466266,23.92,"Catcher"
"71","Mike_Napoli","ANA","Catcher",1.82880365760732,92.98643585,25.33,"Catcher"
"72","Casey_Kotchman","ANA","First_Baseman",1.90500381000762,95.2543977,24.02,"Infielder"
"73","Kendry_Morales","ANA","First_Baseman",1.85420370840742,99.7903214,23.7,"Infielder"
"74","Shea_Hillenbrand","ANA","First_Baseman",1.85420370840742,95.70799007,31.59,"Infielder"
"75","Robb_Quinlan","ANA","First_Baseman",1.85420370840742,90.718474,29.95,"Infielder"
"76","Howie_Kendrick","ANA","First_Baseman",1.77800355600711,81.6466266,23.64,"Infielder"
"77","Orlando_Cabrera","ANA","Shortstop",1.77800355600711,86.1825503,32.33,"Infielder"
